time,H_max,H_min,Q_in,Q_release,V_max,V_min,V_storage
2013-01-01 01:00:00,0.460000,0.440000,0.000000,0.000000,420860.554886,382552.000845,400000.000007
2013-01-02 01:00:00,0.460000,0.440000,0.720000,0.653138,420860.554886,382552.000845,405776.896137
2013-01-03 01:00:00,0.460000,0.440000,1.150000,1.037538,420860.554886,382552.000845,415493.574445
2013-01-04 01:00:00,0.460000,0.440000,1.440000,1.320675,420860.554886,382552.000845,425803.229846
2013-01-05 01:00:00,0.460000,0.440000,1.680000,1.542642,420860.554886,382552.000845,437670.999167
2013-01-06 01:00:00,0.460000,0.440000,1.870000,2.277603,420860.554886,382552.000845,402454.103883
2013-01-07 01:00:00,0.460000,0.440000,2.030000,2.035300,420860.554886,382552.000845,401996.201953
2013-01-08 01:00:00,0.460000,0.440000,2.170000,2.169673,420860.554886,382552.000845,402024.446585
2013-01-09 01:00:00,0.460000,0.440000,2.290000,2.289785,420860.554886,382552.000845,402043.023286
2013-01-10 01:00:00,0.460000,0.440000,2.400000,2.399791,420860.554886,382552.000845,402061.048247
2013-01-11 01:00:00,0.460000,0.440000,2.500000,2.497333,420860.554886,382552.000845,402291.514155
2013-01-12 01:00:00,0.460000,0.440000,2.590000,2.374833,420860.554886,382552.000845,420881.918192
