time,Q_in,Q_release,V_max,V_min,storage_V
2013-01-01 00:00:00,1.500000,0.000000,401574.854728,382552.000845,400000.000000
2013-01-02 00:00:00,1.950000,2.041806,401574.854728,382552.000845,392067.949285
2013-01-03 00:00:00,2.550000,2.549975,401574.854728,382552.000845,392070.095860
2013-01-04 00:00:00,3.300000,3.299729,401574.854728,382552.000845,392093.524054
2013-01-05 00:00:00,4.350000,4.127087,440388.075647,382552.000845,411353.196257
2013-01-06 00:00:00,5.550000,5.555676,440388.075647,382552.000845,410862.823911
2013-01-07 00:00:00,7.200000,7.162742,440388.075647,382552.000845,414081.920550
2013-01-08 00:00:00,5.550000,5.557660,440388.075647,382552.000845,413420.092345
2013-01-09 00:00:00,4.350000,4.352543,440388.075647,382552.000845,413200.355252
2013-01-10 00:00:00,3.300000,3.541718,401574.854728,382552.000845,392315.891454
2013-01-11 00:00:00,2.550000,2.549616,401574.854728,382552.000845,392349.092188
2013-01-12 00:00:00,1.950000,1.843129,401574.854728,382552.000845,401582.714327
